desc,eval,img,intro,name,num,star
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,388260人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东内拉·阿蒂利 Anton...,
                            1988 / 意大利 法国 / 剧情 爱情
                        ",天堂电影院,30,9.2
对敌人的仁慈，就是对自己残忍。,324421人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,
                            2000 / 中国大陆 / 剧情 历史 战争
                        ",鬼子来了,31,9.2
1957年的理想主义。,231785人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,
                            1957 / 美国 / 剧情
                        ",十二怒汉,32,9.4
比利·怀德满分作品。,165630人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,"
                            导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,
                            1957 / 美国 / 剧情 犯罪 悬疑
                        ",控方证人,33,9.6
史诗的终章。,388960人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...,
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",指环王3：王者无敌,34,9.1
对天空的追逐，永不停止。,455127人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,
                            1986 / 日本 / 动画 奇幻 冒险
                        ",天空之城,35,9.1
最后那些最无聊的事情，才是最值得怀念的。,693957人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2364094053.jpg,"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,
                            2009 / 美国 / 剧情 喜剧 动画 冒险
                        ",飞屋环游记,36,8.9
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,731701人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,
                            2016 / 印度 / 剧情 传记 运动 家庭
                        ",摔跤吧！爸爸,37,9.0
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,502281人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,
                            1999 / 美国 德国 / 剧情 动作 悬疑 惊悚
                        ",搏击俱乐部,38,9.0
旷古烁今。,594247人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1280323646.jpg,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,
                            1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        ",大话西游之月光宝盒,39,8.9
